people/person_id/0,people/pose_keypoints_2d/0,people/pose_keypoints_2d/1,people/pose_keypoints_2d/2,people/pose_keypoints_2d/3,people/pose_keypoints_2d/4,people/pose_keypoints_2d/5,people/pose_keypoints_2d/6,people/pose_keypoints_2d/7,people/pose_keypoints_2d/8,people/pose_keypoints_2d/9,people/pose_keypoints_2d/10,people/pose_keypoints_2d/11,people/pose_keypoints_2d/12,people/pose_keypoints_2d/13,people/pose_keypoints_2d/14,people/pose_keypoints_2d/15,people/pose_keypoints_2d/16,people/pose_keypoints_2d/17,people/pose_keypoints_2d/18,people/pose_keypoints_2d/19,people/pose_keypoints_2d/20,people/pose_keypoints_2d/21,people/pose_keypoints_2d/22,people/pose_keypoints_2d/23,people/pose_keypoints_2d/24,people/pose_keypoints_2d/25,people/pose_keypoints_2d/26,people/pose_keypoints_2d/27,people/pose_keypoints_2d/28,people/pose_keypoints_2d/29,people/pose_keypoints_2d/30,people/pose_keypoints_2d/31,people/pose_keypoints_2d/32,people/pose_keypoints_2d/33,people/pose_keypoints_2d/34,people/pose_keypoints_2d/35,people/pose_keypoints_2d/36,people/pose_keypoints_2d/37,people/pose_keypoints_2d/38,people/pose_keypoints_2d/39,people/pose_keypoints_2d/40,people/pose_keypoints_2d/41,people/pose_keypoints_2d/42,people/pose_keypoints_2d/43,people/pose_keypoints_2d/44,people/pose_keypoints_2d/45,people/pose_keypoints_2d/46,people/pose_keypoints_2d/47,people/pose_keypoints_2d/48,people/pose_keypoints_2d/49,people/pose_keypoints_2d/50,people/pose_keypoints_2d/51,people/pose_keypoints_2d/52,people/pose_keypoints_2d/53,people/pose_keypoints_2d/54,people/pose_keypoints_2d/55,people/pose_keypoints_2d/56,people/pose_keypoints_2d/57,people/pose_keypoints_2d/58,people/pose_keypoints_2d/59,people/pose_keypoints_2d/60,people/pose_keypoints_2d/61,people/pose_keypoints_2d/62,people/pose_keypoints_2d/63,people/pose_keypoints_2d/64,people/pose_keypoints_2d/65,people/pose_keypoints_2d/66,people/pose_keypoints_2d/67,people/pose_keypoints_2d/68,people/pose_keypoints_2d/69,people/pose_keypoints_2d/70,people/pose_keypoints_2d/71,people/pose_keypoints_2d/72,people/pose_keypoints_2d/73,people/pose_keypoints_2d/74,time
-1,498.347,131.2,0.867052,488.122,229.588,0.801718,402.869,217.817,0.686234,372.033,342.662,0.70275,360.295,460.185,0.741397,579.123,241.352,0.643872,593.823,360.29,0.721452,627.54,486.552,0.74289,474.883,474.863,0.397945,422.007,474.849,0.35912,0,0,0,0,0,0,524.833,473.386,0.360164,0,0,0,0,0,0,483.644,110.697,0.885178,520.328,113.588,0.881969,463.048,122.358,0.894172,545.312,132.625,0.897423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,498.349,131.167,0.861995,488.137,229.62,0.792937,402.857,217.822,0.6882,372.035,339.726,0.712212,360.285,458.716,0.729159,579.132,241.394,0.633648,593.835,360.313,0.735899,627.539,485.105,0.74408,471.942,473.4,0.416374,419.036,471.911,0.39292,0,0,0,0,0,0,523.346,471.916,0.380204,0,0,0,0,0,0,483.651,110.681,0.885725,520.334,113.57,0.885097,463.046,122.339,0.88783,545.322,131.206,0.893782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
-1,498.339,129.741,0.861562,488.117,229.634,0.796632,402.857,217.85,0.696017,370.665,339.77,0.692545,360.283,458.709,0.729095,579.12,241.391,0.636856,593.846,360.349,0.70919,627.536,486.573,0.759693,473.374,471.936,0.425227,420.506,468.994,0.393723,0,0,0,0,0,0,523.305,471.916,0.395554,0,0,0,0,0,0,483.631,110.683,0.882557,518.916,112.201,0.884984,463.044,122.343,0.889267,545.326,131.189,0.891602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
-1,498.323,129.716,0.856087,488.132,229.605,0.799108,402.856,217.819,0.695455,372.031,338.305,0.709488,360.291,454.318,0.745339,579.124,241.385,0.638317,593.876,361.799,0.706122,626.131,488.096,0.736354,473.379,474.86,0.425865,419.097,473.379,0.386223,0,0,0,0,0,0,523.331,473.4,0.391396,0,0,0,0,0,0,482.223,110.652,0.878824,518.92,112.19,0.887361,463.043,122.333,0.882768,545.312,131.211,0.888891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
-1,498.318,129.756,0.857547,488.148,229.616,0.797684,402.882,217.82,0.693169,372.037,339.731,0.702674,358.909,455.756,0.728683,579.118,241.418,0.632377,595.285,367.621,0.72421,627.536,489.571,0.756164,474.843,476.311,0.428313,420.552,474.854,0.362523,0,0,0,0,0,0,524.796,474.843,0.365473,0,0,0,0,0,0,482.203,110.677,0.880689,518.909,112.2,0.884181,461.666,122.335,0.875947,545.305,131.175,0.879602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
-1,498.323,129.715,0.857062,488.124,229.604,0.800126,401.428,216.426,0.684458,370.66,338.276,0.721455,360.312,460.142,0.71728,579.112,241.404,0.639473,595.337,370.568,0.73938,627.62,493.941,0.758261,476.326,474.852,0.405792,426.37,474.868,0.36539,0,0,0,0,0,0,527.712,470.46,0.356383,0,0,0,0,0,0,482.185,110.658,0.87518,518.899,112.186,0.886805,461.668,122.379,0.887782,545.276,131.174,0.869466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
-1,498.333,128.273,0.859028,489.527,231.046,0.773393,399.978,217.854,0.678779,372.065,338.259,0.714765,360.352,457.263,0.718325,580.555,242.839,0.628963,601.17,372.104,0.721602,629.072,499.843,0.793556,474.851,479.262,0.377026,423.473,480.734,0.334202,0,0,0,0,0,0,526.25,480.734,0.317444,0,0,0,0,0,0,482.173,110.656,0.873541,517.474,112.161,0.885635,461.646,122.4,0.884347,543.901,129.709,0.859288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
-1,498.343,128.248,0.860403,489.592,231.071,0.751177,401.438,217.862,0.680036,372.073,336.839,0.724622,361.766,455.764,0.704821,580.589,244.297,0.626893,604.066,379.401,0.746426,632.017,504.225,0.721052,474.896,476.346,0.371919,424.918,479.272,0.334509,0,0,0,0,0,0,526.258,477.81,0.323867,0,0,0,0,0,0,482.196,110.65,0.874142,517.466,112.149,0.887283,461.659,122.388,0.888853,543.899,128.287,0.859185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
-1,498.36,126.83,0.866033,489.527,229.665,0.777525,402.881,217.843,0.689561,372.097,336.837,0.701663,361.77,455.78,0.692369,580.599,242.858,0.642581,604.132,380.891,0.778554,639.345,505.718,0.696624,474.886,476.318,0.39934,424.911,474.849,0.365073,0,0,0,0,0,0,526.276,477.8,0.331719,0,0,0,0,0,0,483.649,110.66,0.878863,518.919,112.145,0.89104,463.035,122.364,0.897409,543.895,129.725,0.859821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
-1,498.397,129.707,0.861663,491.018,231.047,0.743399,404.314,217.868,0.685724,372.09,336.812,0.7051,363.224,458.697,0.645466,580.62,242.858,0.64746,605.611,380.851,0.773066,642.252,510.118,0.764585,474.893,477.807,0.400736,424.946,477.785,0.371814,0,0,0,0,0,0,524.819,483.66,0.334783,0,0,0,0,0,0,485.123,110.673,0.896239,520.343,112.182,0.891374,463.073,122.365,0.91056,545.29,129.742,0.871881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
