teta1,teta2,phi1,phi2,lambda,target
-92.13,0,10.4,0,0,1
21.7,0,11.01,0,0,0
-90.99,0,10.77,0,0,1
46.91,0,8.99,0,0,0
-71.02,0,41.08,0,0,1
49.87,0,11.28,0,0,0
-80.67,0,-7.14,0,0,1
4.57,0,12.42,0,0,0
-73.12,0,59.69,0,0,1
30.16,0,13.85,0,0,0
-88.43,0,42.35,0,0,1
71.71,0,10.52,0,0,0
-78.65,0,40.35,0,0,1
51.58,0,10.33,0,0,0
-28.24,0,-32.02,0,0,1
-3.58,0,9.14,0,0,0
-77.78,0,41.58,0,0,1
51.05,0,8.96,0,0,0
-77.04,0,36.44,0,0,1
65.23,0,10.91,0,0,0
-41.86,0,16.15,0,0,1
5.21,0,10.66,0,0,0
-70.06,0,53.67,0,0,1
60.16,0,11.96,0,0,0
-77.51,0,47.13,0,0,1
39.05,0,12.85,0,0,0
-12.33,0,14.33,0,0,0
-66.25,0,48.98,0,0,1
31.0,0,13.86,0,0,0
-38.24,0,-5.75,0,0,1
10.44,0,7.23,0,0,0
-59.74,0,30.58,0,0,1
52.38,0,9.41,0,0,0
-46.32,0,34.01,0,0,1
11.86,0,10.55,0,0,0
-17.55,0,0.85,0,0,1
-91.97,0,51.34,0,0,0
-88.15,0,33.7,0,0,1
63.29,0,10.82,0,0,0
-79.96,0,33.02,0,0,1
45.75,0,12.54,0,0,0
-83.31,0,32.01,0,0,1
77.56,0,14.15,0,0,0
-83.75,0,37.23,0,0,1
47.38,0,9.63,0,0,0
-55.24,0,-14.79,0,0,1
93.35,0,13.06,0,0,0
-68.71,0,55.34,0,0,1
38.62,0,10.03,0,0,0
-72.07,0,48.75,0,0,1
45.53,0,12.24,0,0,0
-95.81,0,-1.79,0,0,1
54.53,0,10.44,0,0,0
-68.29,0,53.11,0,0,1
26.8,0,12.21,0,0,0
-81.26,0,31.88,0,0,1
4.32,0,26.0,0,0,0
35.89,0,7.43,0,0,0
-97.33,0,32.45,0,0,1
68.39,0,10.85,0,0,0
0,-59.62,0,-39.52,0,2
0,-71.65,0,-34.55,0,2
0,-51.97,0,-62.82,0,2
0,28.3,0,-14.22,0,0
0,-42.15,0,-11.96,0,2
0,40.04,0,-15.5,0,0
0,-78.77,0,-50.59,0,2
0,49.7,0,-10.05,0,0
0,-107.87,0,-39.36,0,2
0,27.53,0,-9.31,0,0
0,-106.98,0,63.2,0,2
0,2.24,0,51.27,0,0
0,-3.73,0,-12.49,0,0
0,-91.19,0,-35.16,0,2
0,-4.46,0,-23.8,0,0
0,66.19,0,-34.84,0,0
0,18.07,0,-11.89,0,0
0,-55.49,0,-37.65,0,2
0,12.99,0,-9.96,0,0
0,-90.07,0,-32.02,0,2
0,97.24,0,-12.64,0,0
0,-58.83,0,-87.99,0,2
0,28.37,0,-13.33,0,0
0,-37.4,0,51.78,0,2
0,43.6,0,-14.46,0,0
0,-47.76,0,-82.45,0,2
0,67.17,0,-6.88,0,0
0,-47.38,0,52.51,0,2
0,89.59,0,-9.41,0,0
0,-1.4,0,-11.42,0,0
0,-78.18,0,-22.51,0,2
0,27.61,0,-12.75,0,0
0,-39.81,0,0.71,0,2
0,21.26,0,-4.84,0,0
0,-92.72,0,-33.74,0,2
0,89.08,0,-12.47,0,0
0,-58.48,0,5.56,0,2
0,-1.28,0,-8.44,0,0
0,-61.57,0,-40.28,0,2
0,58.47,0,-11.74,0,0
0,-114.74,0,0.36,0,2
0,75.54,0,-11.01,0,0
0,-75.21,0,-50.76,0,2
0,114.91,0,-10.93,0,0
0,-143.02,0,22.68,0,2
0,34.95,0,12.57,0,0
0,-9.07,0,-9.76,0,0
0,-66.43,0,-15.37,0,2
0,18.62,0,-7.15,0,0
0,-74.54,0,-58.92,0,2
0,74.4,0,-10.8,0,0
0,-76.55,0,-58.75,0,2
0,44.23,0,-9.74,0,0
0,-87.7,0,-33.44,0,2
0,85.04,0,-12.84,0,0
0,-85.52,0,-38.9,0,2
0,83.08,0,-8.4,0,0
0,-47.66,0,-57.43,0,2
0,43.26,0,-10.27,0,0
0,-83.37,0,-40.82,0,2
0,59.47,0,-13.24,0,0
0,-85.01,0,-39.58,0,2
0,90.14,0,-13.06,0,0
-36.78,-32.81,-65.4,64.02,0,8
-1.9,-0.93,9.51,-15.33,0,0
-42.54,-40.2,-64.88,59.42,0,8
1.72,-0.64,8.18,-12.44,0,0
-37.21,-32.56,-64.91,60.85,0,8
-8.98,-34.03,7.27,56.17,0,0
-36.81,-49.79,-61.92,63.47,0,8
-6.64,-7.29,5.46,-12.23,0,0
-44.06,-41.34,-65.6,71.27,0,8
-9.05,-4.08,7.39,-14.72,0,0
-41.84,-9.76,-70.13,-8.97,0,8
-9.03,-36.35,8.76,58.15,0,0
-29.86,-7.06,-79.92,-10.28,0,8
-36.97,-46.0,-61.54,54.76,0,8
-6.13,-6.58,8.52,-15.93,0,0
-40.15,-49.3,-56.29,59.61,0,8
-3.94,-4.6,9.31,-14.7,0,0
-47.2,-33.59,-60.0,63.0,0,8
-1.41,-10.0,11.44,-8.59,0,0
-39.85,-14.21,-62.47,-14.39,0,8
-10.29,-42.93,10.01,51.55,0,0
-19.46,-39.49,-60.37,62.45,0,8
-9.58,-10.77,12.2,-11.9,0,0
-45.09,-41.62,-52.24,58.26,0,8
-7.25,-4.67,9.19,-11.33,0,0
-41.32,-24.11,-61.47,57.94,0,8
-0.11,-9.63,10.98,-13.0,0,0
-36.63,-63.2,-56.81,53.68,0,8
-3.57,16.78,5.39,-9.56,0,0
-45.94,-17.89,-58.96,75.64,0,8
4.53,-35.56,7.56,52.97,0,0
-58.93,-53.01,-52.39,41.97,0,8
-9.52,-0.83,9.77,-15.2,0,0
-18.71,-50.14,-81.14,51.34,0,8
-45.34,-8.42,-55.28,-15.11,0,8
-56.86,-36.93,-44.31,59.24,0,8
0.37,-48.21,10.28,55.96,0,0
-3.4,1.85,7.81,-12.57,0,0
-36.33,-18.83,-52.25,67.38,0,8
1.39,-9.95,10.56,-14.26,0,0
-41.33,-40.07,-61.64,55.24,0,8
-7.21,-10.55,8.93,-16.39,0,0
-48.23,-30.63,-56.94,67.36,0,8
-9.55,-2.19,11.89,-12.86,0,0
-24.79,-58.24,-68.54,53.45,0,8
-11.71,-5.05,11.8,-8.58,0,0
0,-90,0,-40,0,2
0,90,0,40,0,0
0,-80,0,-20,0,2
0,80,0,20,0,0
0,-70,0,-40,0,2
0,70,0,40,0,0
0,-100,0,-35,0,2
0,100,0,35,0,0
0,-70,0,-10,0,2
0,70,0,10,0,0
0,-90,0,-20,0,2
0,90,0,20,0,0
0,-110,0,-30,0,2
0,110,0,30,0,0
0,-90,0,-37,0,2
0,90,0,37,0,0
-90,0,40,0,0,1
90,0,-40,0,0,0
-80,0,20,0,0,1
80,0,-20,0,0,0
-70,0,40,0,0,1
70,0,-40,0,0,0
-100,0,35,0,0,1
100,0,-35,0,0,0
-70,0,10,0,0,1
70,0,-10,0,0,0
-90,0,20,0,0,1
90,0,-20,0,0,0
-110,0,30,0,0,1
110,0,-30,0,0,0
-90,0,37,0,0,1
90,0,-37,0,0,0
-40,-30,-65,65,0,8
-2,-1,65,-65,0,0
-40,-40,-70,70,0,8
-5,-3,70,-70,0,0
-50,-45,-35,35,0,8
-2,-1,35,-35,0,0
-50,-50,-60,60.85,0,8
-4,-8,60,-60,0,0
-20,-20,-80,80,0,8
10.44,9,80,-80,0,0
-40,-40,-70,70,0,8
-1,-5,70,-70,0,0
-40,-30,-50,50,0,8
-3,-2,50,-50,0,0
-40,-50,-40,40,0,8
-1,-1,40.35,-40,0,0
0,-128.0,0,10.61,0,2
0,-23.3,0,4.77,0,6
0,18.08,0,-13.88,0,7
0,-20.15,0,23.43,0,6
0,102.65,0,-11.73,0,0
0,-93.79,0,-2.37,0,2
0,-12.43,0,6.71,0,6
0,-7.95,0,33.57,0,6
0,42.0,0,-39.32,0,7
0,73.64,0,-26.11,0,0
0,0.2,0,-30.65,0,7
0,-4.64,0,9.31,0,6
0,-33.53,0,28.67,0,6
0,20.45,0,28.35,0,6
0,117.31,0,-18.15,0,0
0,-12.79,0,-40.42,0,7
0,-5.37,0,-10.15,0,7
0,-33.42,0,36.12,0,6
0,38.43,0,-13.08,0,7
0,75.95,0,-16.44,0,0
0,-27.52,0,-62.2,0,7
0,-6.76,0,16.09,0,6
0,-41.11,0,41.28,0,6
0,38.56,0,-33.31,0,7
0,96.0,0,-17.38,0,0
0,-16.95,0,-49.28,0,7
0,-6.18,0,17.02,0,6
0,53.56,0,46.25,0,0
0,-5.9,0,-33.82,0,7
0,-29.17,0,22.08,0,6
0,-57.28,0,40.36,0,2
0,51.96,0,11.12,0,0
0,2.6,0,-22.27,0,7
0,-29.87,0,28.79,0,6
0,66.14,0,-36.87,0,0
0,-49.19,0,42.8,0,2
0,38.43,0,10.01,0,0
0,-1.22,0,-28.93,0,7
0,-39.2,0,29.64,0,6
0,-24.18,0,4.55,0,6
0,11.96,0,-56.68,0,7
0,81.82,0,-23.03,0,0
0,-13.08,0,-44.49,0,7
0,20.14,0,-64.46,0,7
0,-8.82,0,-40.83,0,7
0,30.51,0,-78.42,0,0
0,-3.63,0,-45.07,0,7
0,-23.8,0,31.48,0,6
0,0.07,0,11.93,0,6
0,-7.83,0,-49.87,0,7
0,-31.4,0,37.81,0,6
0,-24.42,0,4.54,0,6
0,-29.19,0,40.19,0,6
0,46.02,0,14.28,0,0
0,-14.88,0,-47.29,0,7
0,-20.81,0,18.02,0,6
0,-61.81,0,65.63,0,2
0,71.05,0,31.44,0,0
0,-1.38,0,-32.1,0,7
0,-33.08,0,-0.4,0,2
0,47.63,0,-54.94,0,0
0,-12.77,0,-32.02,0,7
0,-30.04,0,28.27,0,6
0,33.65,0,-16.62,0,0
0,3.04,0,-40.7,0,7
0,-45.9,0,20.71,0,6
0,44.07,0,-49.99,0,6
0,-16.01,0,-12.43,0,7
0,113.57,0,-41.87,0,0
0,2.5,0,-47.81,0,7
0,-37.12,0,36.57,0,6
0,68.61,0,-27.65,0,0
0,-24.35,0,10.45,0,6
0,-28.18,0,50.2,0,6
0,79.1,0,15.58,0,0
0,-7.89,0,-36.56,0,7
0,-42.83,0,33.89,0,6
0,63.37,0,-31.3,0,0
0,-25.95,0,1.43,0,2
0,-33.21,0,42.98,0,6
0,45.78,0,5.21,0,0
0,5.72,0,-37.55,0,7
0,-37.5,0,38.52,0,6
0,51.41,0,-31.17,0,0
0,1.01,0,1.14,0,0
0,-13.13,0,-56.83,0,7
0,-26.69,0,12.85,0,6
0,-33.67,0,13.47,0,6
0,-31.15,0,44.97,0,6
0,45.1,0,16.8,0,0
0,-7.58,0,-52.38,0,7
0,-39.0,0,12.41,0,6
0,30.79,0,-27.18,0,7
0,-59.58,0,44.57,0,2
0,69.07,0,17.06,0,0
0,-7.18,0,-35.87,0,7
0,-37.23,0,26.69,0,6
0,69.24,0,-31.05,0,0
0,-66.23,0,40.07,0,2
0,74.97,0,-6.52,0,0
0,-8.56,0,-43.94,0,7
0,-17.58,0,7.19,0,6
0,-40.76,0,16.95,0,6
0,46.59,0,9.43,0,0
0,-8.07,0,-40.53,0,7
0,-22.47,0,26.36,0,6
0,-52.64,0,41.68,0,6
0,49.82,0,10.91,0,0
0,4.13,0,-34.73,0,7
0,-45.53,0,16.74,0,6
0,27.61,0,12.76,0,6
0,35.44,0,4.56,0,0
0,3.05,0,-35.4,0,7
0,-38.23,0,15.17,0,6
0,55.36,0,17.83,0,0
0,-8.4,0,-43.34,0,7
0,51.19,0,27.7,0,0
0,31.68,0,-18.4,0,0
0,-10.9,0,-8.52,0,7
0,-43.95,0,54.62,0,6
0,63.89,0,28.73,0,0
0,-2.96,0,-39.1,0,7
0,-36.78,0,9.84,0,6
0,34.86,0,-3.64,0,0
0,-0.67,0,-37.69,0,7
0,-21.3,0,0.83,0,6
0,47.72,0,-47.68,0,0
0,21.62,0,-77.42,0,0
0,-1.35,0,-33.58,0,7
0,-26.26,0,-24.49,0,7
0,-19.22,0,-15.57,0,7
0,39.61,0,-52.23,0,7
0,18.25,0,-79.89,0,0
0,9.57,0,-29.59,0,7
0,-40.07,0,-4.77,0,7
0,-23.48,0,-9.85,0,7
0,26.55,0,-0.4,0,0
-114.7,0,-12.49,0,0,1
-13.86,0,-5.72,0,0,5
7.83,0,0.27,0,0,0
27.55,0,45.4,0,0,4
88.33,0,11.77,0,0,0
-114.12,0,-15.49,0,0,1
-7.14,0,-26.43,0,0,5
22.4,0,17.76,0,0,4
19.13,0,36.62,0,0,4
90.25,0,10.82,0,0,0
-113.37,0,-12.46,0,0,1
7.4,0,-26.35,0,0,5
12.49,0,-5.96,0,0,5
26.97,0,37.36,0,0,4
75.84,0,26.71,0,0,0
-3.19,0,40.78,0,0,4
-12.45,0,-26.16,0,0,5
-3.29,0,35.83,0,0,4
24.98,0,79.52,0,0,0
5.16,0,33.39,0,0,4
-45.66,0,-23.65,0,0,5
-48.14,0,-40.26,0,0,5
52.96,0,45.02,0,0,4
62.52,0,37.6,0,0,0
3.23,0,40.75,0,0,4
-31.76,0,-33.76,0,0,5
49.84,0,32.11,0,0,0
-5.42,0,26.16,0,0,4
86.23,0,35.57,0,0,0
8.93,0,30.88,0,0,4
-34.5,0,-28.44,0,0,5
-56.83,0,-64.65,0,0,5
58.06,0,36.21,0,0,0
101.63,0,6.44,0,0,0
-11.09,0,25.91,0,0,4
-9.05,0,-13.66,0,0,5
53.41,0,-56.35,0,0,0
-46.33,0,40.08,0,0,1
21.7,0,49.28,0,0,4
-2.91,0,44.11,0,0,4
33.45,0,81.24,0,0,0
-11.72,0,55.8,0,0,4
-29.95,0,-31.7,0,0,5
-30.22,0,-36.5,0,0,5
46.48,0,42.45,0,0,4
63.0,0,49.43,0,0,0
9.44,0,41.07,0,0,4
-0.3,0,14.18,0,0,4
0.64,0,35.95,0,0,4
-18.43,0,-11.44,0,0,5
7.9,0,-2.92,0,0,5
7.95,0,27.82,0,0,0
-22.3,0,-3.66,0,0,5
99.34,0,21.44,0,0,0
-12.62,0,52.24,0,0,4
-20.7,0,-10.25,0,0,5
-13.71,0,7.15,0,0,4
-14.95,0,-27.59,0,0,5
50.05,0,21.17,0,0,0
-10.24,0,43.44,0,0,4
-29.16,0,4.4,0,0,1
-6.95,0,13.45,0,0,4
-4.56,0,41.66,0,0,4
-33.93,0,-4.74,0,0,5
18.94,0,38.08,0,0,4
-4.0,0,36.53,0,0,4
-2.76,0,39.84,0,0,4
-3.55,0,34.12,0,0,4
-21.71,0,-5.72,0,0,5
-31.51,0,-44.46,0,0,5
52.79,0,-33.68,0,0,0
-7.46,0,31.5,0,0,4
-25.92,0,2.13,0,0,4
-40.03,0,-37.68,0,0,5
55.93,0,3.23,0,0,0
-2.5,0,38.64,0,0,4
-4.87,0,41.68,0,0,4
-15.91,0,-1.16,0,0,5
18.39,0,72.15,0,0,0
2.9,0,27.73,0,0,0
-37.35,0,-9.1,0,0,5
-21.33,0,-4.12,0,0,5
5.44,0,-27.01,0,0,5
114.34,0,12.87,0,0,0
-10.16,0,35.68,0,0,4
-15.57,0,35.94,0,0,4
37.14,0,22.79,0,0,0
-12.51,0,43.16,0,0,4
-27.06,0,-16.03,0,0,5
-27.22,0,-21.88,0,0,5
79.21,0,-64.26,0,0,0
-20.92,0,51.54,0,0,4
-13.66,0,-13.22,0,0,5
-30.44,0,-34.11,0,0,5
61.79,0,39.53,0,0,0
-13.72,0,50.16,0,0,4
-7.39,0,19.52,0,0,4
-32.86,0,-34.1,0,0,5
37.09,0,2.64,0,0,0
-11.52,0,35.69,0,0,4
-13.53,0,-3.78,0,0,5
-33.26,0,-33.44,0,0,5
50.98,0,23.33,0,0,0
-11.98,0,41.03,0,0,4
-29.84,0,-16.79,0,0,5
-23.27,0,-15.57,0,0,5
136.76,0,15.87,0,0,0
-15.5,0,44.01,0,0,4
-36.41,0,-14.59,0,0,5
-44.36,0,-36.07,0,0,5
40.69,0,12.23,0,0,0
0.94,0,31.79,0,0,4
-41.86,0,-32.02,0,0,5
49.09,0,37.79,0,0,0
-48.32,0,-42.4,0,0,5
34.35,0,-12.5,0,0,5
-3.29,0,34.92,0,0,4
-58.65,0,-45.89,0,0,5
48.72,0,34.55,0,0,0
-51.92,0,-57.6,0,0,5
37.38,0,-1.15,0,0,0
0,0,0,0,2.56,9
0,0,0,0,0.73,10
0,0,0,0,1.32,9
0,0,0,0,-1.6,10
0,0,0,0,2.23,9
0,0,0,0,1.39,9
0,0,0,0,1.98,9
0,0,0,0,-0.4,10
0,0,0,0,2.38,9
0,0,0,0,0.92,10
0,0,0,0,1.59,9
0,0,0,0,-0.36,10
0,0,0,0,-0.47,10
0,0,0,0,-0.55,10
0,0,0,0,1.26,9
0,0,0,0,-1.14,10
0,0,0,0,-0.71,10
0,0,0,0,1.08,9
0,0,0,0,1.97,9
0,0,0,0,2.05,9
0,0,0,0,1.74,9
0,0,0,0,1.47,9
0,0,0,0,-1.16,10
0,0,0,0,0.85,9
0,0,0,0,-0.66,10
0,0,0,0,0.81,9
0,0,0,0,0.74,10
0,0,0,0,1.83,9
0,0,0,0,0.76,10
0,0,0,0,1.48,9
0,0,0,0,-0.39,10
0,0,0,0,1.18,9
0,0,0,0,0.65,10
0,0,0,0,3.32,9
0,0,0,0,0.37,10
0,0,0,0,0.7,9
0,0,0,0,-0.81,10
0,0,0,0,1.16,9
0,0,0,0,1.71,9
0,0,0,0,-1.23,10
0,0,0,0,1.95,9
0,0,0,0,-0.67,10
0,0,0,0,1.78,9
0,0,0,0,1.83,9
0,0,0,0,1.64,9
0,0,0,0,0.82,10
0,0,0,0,2.92,9
0,0,0,0,-1.55,10
0,0,0,0,1.05,9
0,0,0,0,0.46,10
0,0,0,0,-0.37,10
