people/person_id/0,people/pose_keypoints_2d/0,people/pose_keypoints_2d/1,people/pose_keypoints_2d/2,people/pose_keypoints_2d/3,people/pose_keypoints_2d/4,people/pose_keypoints_2d/5,people/pose_keypoints_2d/6,people/pose_keypoints_2d/7,people/pose_keypoints_2d/8,people/pose_keypoints_2d/9,people/pose_keypoints_2d/10,people/pose_keypoints_2d/11,people/pose_keypoints_2d/12,people/pose_keypoints_2d/13,people/pose_keypoints_2d/14,people/pose_keypoints_2d/15,people/pose_keypoints_2d/16,people/pose_keypoints_2d/17,people/pose_keypoints_2d/18,people/pose_keypoints_2d/19,people/pose_keypoints_2d/20,people/pose_keypoints_2d/21,people/pose_keypoints_2d/22,people/pose_keypoints_2d/23,people/pose_keypoints_2d/24,people/pose_keypoints_2d/25,people/pose_keypoints_2d/26,people/pose_keypoints_2d/27,people/pose_keypoints_2d/28,people/pose_keypoints_2d/29,people/pose_keypoints_2d/30,people/pose_keypoints_2d/31,people/pose_keypoints_2d/32,people/pose_keypoints_2d/33,people/pose_keypoints_2d/34,people/pose_keypoints_2d/35,people/pose_keypoints_2d/36,people/pose_keypoints_2d/37,people/pose_keypoints_2d/38,people/pose_keypoints_2d/39,people/pose_keypoints_2d/40,people/pose_keypoints_2d/41,people/pose_keypoints_2d/42,people/pose_keypoints_2d/43,people/pose_keypoints_2d/44,people/pose_keypoints_2d/45,people/pose_keypoints_2d/46,people/pose_keypoints_2d/47,people/pose_keypoints_2d/48,people/pose_keypoints_2d/49,people/pose_keypoints_2d/50,people/pose_keypoints_2d/51,people/pose_keypoints_2d/52,people/pose_keypoints_2d/53,people/pose_keypoints_2d/54,people/pose_keypoints_2d/55,people/pose_keypoints_2d/56,people/pose_keypoints_2d/57,people/pose_keypoints_2d/58,people/pose_keypoints_2d/59,people/pose_keypoints_2d/60,people/pose_keypoints_2d/61,people/pose_keypoints_2d/62,people/pose_keypoints_2d/63,people/pose_keypoints_2d/64,people/pose_keypoints_2d/65,people/pose_keypoints_2d/66,people/pose_keypoints_2d/67,people/pose_keypoints_2d/68,people/pose_keypoints_2d/69,people/pose_keypoints_2d/70,people/pose_keypoints_2d/71,people/pose_keypoints_2d/72,people/pose_keypoints_2d/73,people/pose_keypoints_2d/74,time
-1,470.449,131.188,0.822183,473.404,250.185,0.741667,372.068,248.682,0.612298,335.337,382.332,0.600993,326.528,483.661,0.628356,573.271,253.091,0.629271,615.86,416.114,0.335224,654.052,536.551,0.299857,463.068,536.569,0.067325,395.551,536.553,0.114123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.377,116.549,0.889847,488.055,116.527,0.873754,429.284,140.03,0.860613,513.018,140.047,0.828977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,470.446,131.188,0.822148,473.395,251.569,0.736329,372.066,248.661,0.609022,333.92,380.902,0.618536,329.453,479.255,0.608143,573.277,253.118,0.627644,617.292,420.515,0.376503,654.07,536.553,0.28072,463.096,536.568,0.0634707,395.576,536.552,0.104174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.371,116.549,0.885919,488.058,116.529,0.873362,429.269,138.582,0.859801,513.028,140.034,0.824478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
-1,470.454,131.191,0.824625,473.405,251.583,0.745181,372.078,248.692,0.607642,335.311,382.334,0.617157,332.361,477.831,0.643261,573.268,253.107,0.628682,617.275,414.661,0.405803,654.047,529.214,0.304352,461.61,536.568,0.0760585,394.108,536.556,0.0979551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.371,116.548,0.887321,488.078,117.975,0.87104,427.924,140.041,0.857512,513.073,140.02,0.814904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
-1,468.989,131.224,0.832308,473.406,251.615,0.75793,372.063,250.123,0.617833,335.31,379.392,0.596529,332.38,477.795,0.635858,573.266,253.095,0.624819,615.883,413.176,0.424915,652.622,526.278,0.306035,464.57,536.565,0.0874199,398.506,536.554,0.0900638,0,0,0,0,0,0,536.549,536.547,0.0561623,0,0,0,0,0,0,451.346,117.994,0.880262,488.058,117.959,0.870827,429.28,137.105,0.876335,513.034,140.037,0.820823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
-1,471.91,129.759,0.827697,473.408,251.605,0.753565,372.066,248.678,0.617698,335.346,380.855,0.595564,330.907,480.754,0.644005,573.264,253.079,0.623674,617.302,414.658,0.355872,654.048,536.552,0.290265,467.53,536.565,0.0713052,399.964,536.556,0.0663554,0,0,0,0,0,0,536.554,536.547,0.0513149,0,0,0,0,0,0,451.391,116.523,0.89251,488.09,116.514,0.870999,429.306,138.549,0.85808,513.069,140.004,0.813557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
-1,471.889,131.201,0.825401,473.417,251.614,0.756494,372.062,248.714,0.617214,335.37,380.884,0.610094,330.906,482.221,0.628795,574.707,253.109,0.627493,617.324,420.512,0.376953,655.491,536.556,0.28667,466.036,536.565,0.0649848,402.884,536.557,0.0669896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.401,116.532,0.893563,488.098,116.511,0.87108,429.297,140,0.852325,513.092,141.469,0.807194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
-1,470.479,132.628,0.832823,474.786,251.668,0.767326,372.092,250.173,0.616566,333.912,382.302,0.645169,329.452,479.284,0.6256,574.743,253.13,0.62327,615.868,416.132,0.376555,656.946,536.552,0.271156,468.998,536.566,0.0532606,398.505,536.556,0.0585572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.396,116.544,0.893755,488.103,116.509,0.866152,429.303,137.124,0.866107,514.487,141.469,0.802927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
-1,471.905,131.177,0.827568,473.392,251.631,0.753874,372.089,250.161,0.610749,333.892,382.383,0.667003,328.023,479.294,0.627163,574.729,253.103,0.622532,614.347,405.837,0.431877,652.61,526.266,0.321452,464.56,536.565,0.0552447,397.043,536.552,0.0657173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.39,116.523,0.892991,488.123,116.492,0.864936,429.295,138.566,0.860526,513.063,138.541,0.820301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
-1,471.912,131.197,0.830918,473.411,251.63,0.76353,372.066,250.149,0.617288,335.328,382.316,0.649885,330.933,483.677,0.619059,574.723,253.139,0.613429,615.85,411.695,0.400511,654.013,526.272,0.369406,464.547,536.566,0.0655679,398.507,536.55,0.0755489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.379,117.966,0.88995,488.121,116.495,0.867371,429.304,139.994,0.853199,513.083,139.994,0.812475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
-1,471.907,131.216,0.834353,473.409,251.627,0.757924,372.07,250.129,0.617127,335.325,382.315,0.641086,330.917,482.185,0.612247,574.723,253.129,0.612582,615.83,410.239,0.397058,652.625,526.281,0.356291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.382,117.979,0.890451,488.117,116.504,0.8655,429.299,138.573,0.859531,513.087,138.581,0.809052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
-1,471.934,131.179,0.830536,474.791,251.586,0.761383,372.087,248.673,0.610758,335.339,382.311,0.667859,328.015,482.184,0.640189,574.724,253.106,0.623438,615.796,404.379,0.433473,652.567,524.784,0.395217,463.141,536.566,0.0562069,398.493,536.552,0.0769332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.41,117.974,0.896944,488.102,116.507,0.871235,429.303,138.531,0.867469,513.09,138.568,0.81202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1,471.932,129.738,0.82446,473.398,251.619,0.753347,370.643,248.691,0.619023,335.301,382.36,0.631714,328.023,476.39,0.658086,574.737,253.154,0.615273,617.31,416.106,0.387091,655.504,530.679,0.294405,463.146,536.562,0.0541447,395.566,536.556,0.0657658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.391,116.493,0.89801,488.126,116.496,0.865287,429.342,137.128,0.855592,513.096,138.556,0.815041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
-1,471.932,131.18,0.835553,474.83,251.629,0.762398,372.075,248.712,0.610124,335.374,382.388,0.675176,327.981,482.198,0.638504,576.19,253.147,0.625907,617.29,417.579,0.398347,654.029,527.757,0.320188,464.568,536.566,0.0536637,401.434,536.554,0.071187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.777,116.516,0.901846,488.13,116.502,0.863878,429.32,137.114,0.876636,513.088,138.583,0.811321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
-1,471.937,131.209,0.833068,473.379,251.598,0.745648,372.049,250.128,0.620376,335.334,382.3,0.650204,328.025,482.208,0.624023,574.704,253.126,0.609016,617.281,416.112,0.441686,654.028,536.548,0.324143,461.66,536.567,0.0580611,397.037,536.554,0.0713454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.401,116.544,0.896002,488.111,115.077,0.869097,429.297,140.046,0.859885,513.082,140.028,0.810061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
-1,471.898,132.622,0.833077,474.806,251.595,0.75771,372.088,250.131,0.608124,333.919,382.383,0.656548,326.561,483.643,0.634759,574.717,253.081,0.620491,615.828,410.231,0.367392,655.499,536.552,0.288726,464.549,536.565,0.0528912,398.482,536.555,0.0749898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.391,115.084,0.895853,488.11,116.514,0.868044,429.293,137.112,0.866739,513.09,140.02,0.810093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
-1,470.466,132.622,0.833389,474.785,251.64,0.755329,372.085,250.164,0.61953,333.921,382.393,0.659368,326.552,485.101,0.634144,574.706,253.121,0.609261,615.825,419.043,0.375824,652.609,529.214,0.331103,463.061,536.568,0.072024,397.027,536.557,0.0760622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.414,116.519,0.894846,488.104,116.502,0.869094,429.304,140.002,0.850127,514.495,140.04,0.79659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
-1,470.456,132.634,0.836919,473.412,251.604,0.755243,372.065,248.715,0.615616,335.302,382.338,0.664461,325.115,480.761,0.640491,574.733,253.12,0.62182,615.854,420.528,0.396592,652.545,527.751,0.335671,463.071,536.568,0.0725259,397.028,536.557,0.0852378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.412,116.522,0.894059,488.1,116.507,0.868886,429.303,139.995,0.851153,514.526,140.012,0.798811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
-1,473.331,132.675,0.854786,473.394,251.594,0.751682,372.051,248.703,0.619586,335.331,382.36,0.671715,326.511,483.662,0.647462,574.742,253.122,0.620765,614.375,413.168,0.419396,652.611,530.68,0.35152,461.66,536.568,0.0623228,395.562,536.554,0.080173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.769,116.542,0.89778,488.139,116.52,0.863176,429.272,139.996,0.851112,513.085,140.039,0.814084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
