people/person_id/0,people/pose_keypoints_2d/0,people/pose_keypoints_2d/1,people/pose_keypoints_2d/2,people/pose_keypoints_2d/3,people/pose_keypoints_2d/4,people/pose_keypoints_2d/5,people/pose_keypoints_2d/6,people/pose_keypoints_2d/7,people/pose_keypoints_2d/8,people/pose_keypoints_2d/9,people/pose_keypoints_2d/10,people/pose_keypoints_2d/11,people/pose_keypoints_2d/12,people/pose_keypoints_2d/13,people/pose_keypoints_2d/14,people/pose_keypoints_2d/15,people/pose_keypoints_2d/16,people/pose_keypoints_2d/17,people/pose_keypoints_2d/18,people/pose_keypoints_2d/19,people/pose_keypoints_2d/20,people/pose_keypoints_2d/21,people/pose_keypoints_2d/22,people/pose_keypoints_2d/23,people/pose_keypoints_2d/24,people/pose_keypoints_2d/25,people/pose_keypoints_2d/26,people/pose_keypoints_2d/27,people/pose_keypoints_2d/28,people/pose_keypoints_2d/29,people/pose_keypoints_2d/30,people/pose_keypoints_2d/31,people/pose_keypoints_2d/32,people/pose_keypoints_2d/33,people/pose_keypoints_2d/34,people/pose_keypoints_2d/35,people/pose_keypoints_2d/36,people/pose_keypoints_2d/37,people/pose_keypoints_2d/38,people/pose_keypoints_2d/39,people/pose_keypoints_2d/40,people/pose_keypoints_2d/41,people/pose_keypoints_2d/42,people/pose_keypoints_2d/43,people/pose_keypoints_2d/44,people/pose_keypoints_2d/45,people/pose_keypoints_2d/46,people/pose_keypoints_2d/47,people/pose_keypoints_2d/48,people/pose_keypoints_2d/49,people/pose_keypoints_2d/50,people/pose_keypoints_2d/51,people/pose_keypoints_2d/52,people/pose_keypoints_2d/53,people/pose_keypoints_2d/54,people/pose_keypoints_2d/55,people/pose_keypoints_2d/56,people/pose_keypoints_2d/57,people/pose_keypoints_2d/58,people/pose_keypoints_2d/59,people/pose_keypoints_2d/60,people/pose_keypoints_2d/61,people/pose_keypoints_2d/62,people/pose_keypoints_2d/63,people/pose_keypoints_2d/64,people/pose_keypoints_2d/65,people/pose_keypoints_2d/66,people/pose_keypoints_2d/67,people/pose_keypoints_2d/68,people/pose_keypoints_2d/69,people/pose_keypoints_2d/70,people/pose_keypoints_2d/71,people/pose_keypoints_2d/72,people/pose_keypoints_2d/73,people/pose_keypoints_2d/74,time
-1,476.403,140.011,0.860279,474.909,260.435,0.757051,379.374,254.552,0.607654,344.181,389.668,0.612315,335.401,499.874,0.644311,574.706,264.83,0.629204,604.063,416.119,0.41491,621.737,536.555,0.176844,468.975,536.563,0.0687697,404.36,536.548,0.107737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.184,126.819,0.857399,498.274,132.611,0.878164,436.645,148.857,0.811482,517.43,154.712,0.811022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,476.395,140.021,0.863962,476.273,261.86,0.759957,377.925,254.587,0.599253,344.163,389.671,0.60743,335.382,499.792,0.654084,574.738,264.842,0.630499,604.099,417.599,0.392158,621.746,536.557,0.164954,468.976,536.564,0.0714452,404.344,536.549,0.112095,0,0,0,0,0,0,533.617,536.556,0.0576504,0,0,0,0,0,0,460.177,126.823,0.855405,498.268,132.624,0.879981,438.09,148.826,0.8287,517.442,154.727,0.813708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
-1,476.398,140.025,0.863206,474.909,261.893,0.768689,379.368,254.595,0.604555,345.559,388.212,0.589106,336.816,498.312,0.669545,574.723,264.873,0.636669,605.526,423.448,0.417835,621.744,536.558,0.166945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.179,126.824,0.854646,496.917,132.625,0.880185,438.124,148.843,0.828726,517.444,154.719,0.815184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
-1,476.395,141.474,0.869363,474.903,261.866,0.767534,377.94,254.582,0.613127,345.595,389.664,0.609583,341.238,496.865,0.668201,574.737,264.84,0.642285,605.521,426.379,0.445267,623.176,536.556,0.185554,473.397,536.568,0.0902444,408.773,536.559,0.10855,0,0,0,0,0,0,533.611,536.56,0.0672761,0,0,0,0,0,0,460.155,128.248,0.849959,496.905,132.65,0.885752,438.136,148.887,0.816756,517.439,156.149,0.826679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
-1,476.396,141.474,0.868627,474.88,260.456,0.761644,377.937,253.165,0.62126,342.698,391.143,0.598524,341.206,498.389,0.673973,574.73,264.84,0.640306,605.538,424.925,0.411944,623.212,536.555,0.163656,468.978,536.569,0.0709379,405.828,536.555,0.0982715,0,0,0,0,0,0,533.598,536.56,0.0541555,0,0,0,0,0,0,460.157,128.242,0.850361,496.902,132.646,0.885394,438.125,150.29,0.814005,517.441,156.145,0.825163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
-1,476.394,141.467,0.869829,474.9,261.878,0.7702,377.917,254.556,0.617959,342.694,394.082,0.597247,336.851,508.644,0.583272,576.189,264.898,0.632831,605.532,424.927,0.382624,624.649,536.552,0.16524,466.037,536.569,0.072144,405.829,536.556,0.11737,0,0,0,0,0,0,532.151,536.558,0.0541615,0,0,0,0,0,0,460.158,128.26,0.850298,496.908,132.648,0.88527,438.147,151.786,0.813756,516.004,156.161,0.825776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
-1,476.404,141.491,0.866821,474.901,261.898,0.770772,377.916,254.598,0.613846,341.236,394.065,0.577087,335.338,507.176,0.607383,576.175,264.893,0.636212,605.571,424.917,0.364522,623.176,536.554,0.137712,473.352,536.561,0.0925386,405.849,536.549,0.11435,0,0,0,0,0,0,535.073,536.557,0.0751598,0,0,0,0,0,0,460.162,128.25,0.848829,496.912,132.645,0.888602,438.111,148.866,0.835567,517.428,156.173,0.823918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
-1,477.776,141.512,0.864201,476.274,261.935,0.766777,379.372,256.061,0.607614,344.158,395.588,0.553067,335.357,511.593,0.55511,576.192,264.904,0.636462,605.559,427.865,0.387003,621.738,536.558,0.158562,474.889,536.569,0.0520868,405.824,536.561,0.0690175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.193,128.27,0.850068,498.286,132.665,0.900517,438.104,150.305,0.826882,517.454,156.176,0.82609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
-1,476.402,142.975,0.869301,474.883,263.336,0.769792,377.939,256.052,0.598049,342.668,402.887,0.57507,335.396,513.041,0.565116,573.267,266.293,0.628908,604.136,426.392,0.432981,620.249,536.562,0.162016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.173,129.726,0.843513,498.278,132.666,0.898443,438.089,148.887,0.820118,517.468,156.186,0.829035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
-1,476.411,144.388,0.88653,474.916,263.408,0.780656,379.414,258.976,0.601032,345.615,399.964,0.555983,336.827,514.539,0.554584,574.708,266.334,0.622336,604.109,426.401,0.412869,618.772,536.556,0.176119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.166,131.187,0.854913,496.889,134.056,0.901594,438.095,151.776,0.816736,518.926,157.62,0.859212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
