people/person_id/0,people/pose_keypoints_2d/0,people/pose_keypoints_2d/1,people/pose_keypoints_2d/2,people/pose_keypoints_2d/3,people/pose_keypoints_2d/4,people/pose_keypoints_2d/5,people/pose_keypoints_2d/6,people/pose_keypoints_2d/7,people/pose_keypoints_2d/8,people/pose_keypoints_2d/9,people/pose_keypoints_2d/10,people/pose_keypoints_2d/11,people/pose_keypoints_2d/12,people/pose_keypoints_2d/13,people/pose_keypoints_2d/14,people/pose_keypoints_2d/15,people/pose_keypoints_2d/16,people/pose_keypoints_2d/17,people/pose_keypoints_2d/18,people/pose_keypoints_2d/19,people/pose_keypoints_2d/20,people/pose_keypoints_2d/21,people/pose_keypoints_2d/22,people/pose_keypoints_2d/23,people/pose_keypoints_2d/24,people/pose_keypoints_2d/25,people/pose_keypoints_2d/26,people/pose_keypoints_2d/27,people/pose_keypoints_2d/28,people/pose_keypoints_2d/29,people/pose_keypoints_2d/30,people/pose_keypoints_2d/31,people/pose_keypoints_2d/32,people/pose_keypoints_2d/33,people/pose_keypoints_2d/34,people/pose_keypoints_2d/35,people/pose_keypoints_2d/36,people/pose_keypoints_2d/37,people/pose_keypoints_2d/38,people/pose_keypoints_2d/39,people/pose_keypoints_2d/40,people/pose_keypoints_2d/41,people/pose_keypoints_2d/42,people/pose_keypoints_2d/43,people/pose_keypoints_2d/44,people/pose_keypoints_2d/45,people/pose_keypoints_2d/46,people/pose_keypoints_2d/47,people/pose_keypoints_2d/48,people/pose_keypoints_2d/49,people/pose_keypoints_2d/50,people/pose_keypoints_2d/51,people/pose_keypoints_2d/52,people/pose_keypoints_2d/53,people/pose_keypoints_2d/54,people/pose_keypoints_2d/55,people/pose_keypoints_2d/56,people/pose_keypoints_2d/57,people/pose_keypoints_2d/58,people/pose_keypoints_2d/59,people/pose_keypoints_2d/60,people/pose_keypoints_2d/61,people/pose_keypoints_2d/62,people/pose_keypoints_2d/63,people/pose_keypoints_2d/64,people/pose_keypoints_2d/65,people/pose_keypoints_2d/66,people/pose_keypoints_2d/67,people/pose_keypoints_2d/68,people/pose_keypoints_2d/69,people/pose_keypoints_2d/70,people/pose_keypoints_2d/71,people/pose_keypoints_2d/72,people/pose_keypoints_2d/73,people/pose_keypoints_2d/74,time
-1,482.218,147.387,0.879804,483.657,263.403,0.756497,385.263,263.379,0.647414,352.959,422.006,0.516791,328.009,536.552,0.223332,580.598,263.399,0.635635,604.116,405.811,0.513467,624.625,523.309,0.48181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.53,135.596,0.971418,499.796,135.603,0.938852,441.085,157.597,0.905615,523.351,159.146,0.884714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,482.187,147.393,0.872934,483.657,263.426,0.757483,383.851,263.377,0.648889,352.956,421.99,0.477573,327.99,536.551,0.21889,580.592,264.807,0.631881,604.081,404.367,0.516091,624.649,523.3,0.485078,483.674,536.562,0.0599492,419.057,536.555,0.0541829,0,0,0,0,0,0,549.763,536.547,0.064404,0,0,0,0,0,0,464.531,135.598,0.970051,499.779,135.622,0.935074,441.071,157.574,0.902806,523.342,159.123,0.889781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
-1,482.182,147.425,0.871067,483.684,264.808,0.768615,385.273,263.374,0.648286,352.986,423.454,0.43588,328.017,536.552,0.19173,580.591,263.429,0.650143,607.035,416.096,0.45923,626.091,523.29,0.522959,486.594,536.562,0.0803447,424.92,536.558,0.0598815,0,0,0,0,0,0,548.296,536.549,0.0872974,0,0,0,0,0,0,464.517,135.639,0.962124,499.769,135.63,0.940296,441.07,157.646,0.930075,523.291,159.152,0.869097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
-1,480.734,147.379,0.882581,483.657,263.393,0.755653,385.287,263.352,0.638553,352.974,423.45,0.391541,329.461,536.547,0.179399,580.575,263.415,0.643604,605.618,413.16,0.46989,624.668,526.271,0.451114,486.644,536.563,0.0878173,421.996,536.553,0.0594442,0,0,0,0,0,0,551.228,536.55,0.0958327,0,0,0,0,0,0,463.169,135.587,0.968476,499.761,135.587,0.944776,441.069,157.591,0.911933,523.271,159.117,0.900463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
-1,483.636,147.402,0.877614,483.665,263.405,0.751393,383.84,263.354,0.640241,352.95,426.388,0.35176,329.463,536.549,0.182711,580.584,263.397,0.645511,605.579,410.237,0.477616,624.641,536.551,0.478016,489.569,536.567,0.0603558,0,0,0,0,0,0,0,0,0,551.243,536.55,0.065001,0,0,0,0,0,0,464.536,135.591,0.965933,499.798,135.585,0.943996,441.066,157.595,0.915301,523.326,159.109,0.88391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
-1,482.199,147.371,0.880928,483.684,263.393,0.757164,383.836,263.327,0.641283,351.492,427.872,0.402922,329.45,536.553,0.172326,580.573,263.404,0.644043,605.586,413.163,0.476756,621.715,536.55,0.51677,488.108,536.565,0.0664175,0,0,0,0,0,0,0,0,0,548.304,536.552,0.0677835,0,0,0,0,0,0,464.528,135.579,0.964816,499.782,135.576,0.945312,441.024,157.565,0.909876,523.3,159.134,0.895555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
-1,480.739,147.415,0.872189,483.684,264.798,0.74835,385.268,263.37,0.635168,350.049,423.449,0.410184,329.485,536.55,0.153235,580.57,264.824,0.628312,605.585,413.161,0.441122,623.187,536.55,0.502916,488.043,536.569,0.0522367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.165,135.615,0.960951,499.767,135.631,0.941767,441.052,157.612,0.923819,521.883,159.136,0.894232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
-1,480.755,147.41,0.873054,483.686,264.814,0.764468,383.82,263.393,0.652371,350.027,427.869,0.362741,329.448,536.556,0.125621,580.592,264.845,0.657621,605.573,408.769,0.449511,624.656,527.746,0.477217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.164,135.623,0.957445,499.76,135.644,0.935634,441.015,157.575,0.909644,523.273,159.144,0.90562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
-1,482.186,147.394,0.876934,483.637,264.859,0.748539,383.823,264.809,0.639902,350.017,427.848,0.375327,328.017,527.736,0.139903,580.546,264.892,0.638,608.512,417.563,0.45416,627.641,524.827,0.453231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.52,135.634,0.962596,499.767,135.641,0.939038,441.03,157.605,0.920166,521.886,159.126,0.900163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
-1,482.193,148.807,0.865,482.228,264.85,0.750461,382.392,263.378,0.660033,350.018,424.932,0.441052,328.021,536.552,0.159408,580.571,264.908,0.649579,607.058,416.13,0.438349,630.566,524.838,0.423435,488.138,536.568,0.0695784,0,0,0,0,0,0,0,0,0,554.153,536.559,0.0838509,0,0,0,0,0,0,464.539,135.686,0.948536,499.765,135.689,0.928339,439.678,157.65,0.929584,521.877,160.56,0.874384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
