people/person_id/0,people/pose_keypoints_2d/0,people/pose_keypoints_2d/1,people/pose_keypoints_2d/2,people/pose_keypoints_2d/3,people/pose_keypoints_2d/4,people/pose_keypoints_2d/5,people/pose_keypoints_2d/6,people/pose_keypoints_2d/7,people/pose_keypoints_2d/8,people/pose_keypoints_2d/9,people/pose_keypoints_2d/10,people/pose_keypoints_2d/11,people/pose_keypoints_2d/12,people/pose_keypoints_2d/13,people/pose_keypoints_2d/14,people/pose_keypoints_2d/15,people/pose_keypoints_2d/16,people/pose_keypoints_2d/17,people/pose_keypoints_2d/18,people/pose_keypoints_2d/19,people/pose_keypoints_2d/20,people/pose_keypoints_2d/21,people/pose_keypoints_2d/22,people/pose_keypoints_2d/23,people/pose_keypoints_2d/24,people/pose_keypoints_2d/25,people/pose_keypoints_2d/26,people/pose_keypoints_2d/27,people/pose_keypoints_2d/28,people/pose_keypoints_2d/29,people/pose_keypoints_2d/30,people/pose_keypoints_2d/31,people/pose_keypoints_2d/32,people/pose_keypoints_2d/33,people/pose_keypoints_2d/34,people/pose_keypoints_2d/35,people/pose_keypoints_2d/36,people/pose_keypoints_2d/37,people/pose_keypoints_2d/38,people/pose_keypoints_2d/39,people/pose_keypoints_2d/40,people/pose_keypoints_2d/41,people/pose_keypoints_2d/42,people/pose_keypoints_2d/43,people/pose_keypoints_2d/44,people/pose_keypoints_2d/45,people/pose_keypoints_2d/46,people/pose_keypoints_2d/47,people/pose_keypoints_2d/48,people/pose_keypoints_2d/49,people/pose_keypoints_2d/50,people/pose_keypoints_2d/51,people/pose_keypoints_2d/52,people/pose_keypoints_2d/53,people/pose_keypoints_2d/54,people/pose_keypoints_2d/55,people/pose_keypoints_2d/56,people/pose_keypoints_2d/57,people/pose_keypoints_2d/58,people/pose_keypoints_2d/59,people/pose_keypoints_2d/60,people/pose_keypoints_2d/61,people/pose_keypoints_2d/62,people/pose_keypoints_2d/63,people/pose_keypoints_2d/64,people/pose_keypoints_2d/65,people/pose_keypoints_2d/66,people/pose_keypoints_2d/67,people/pose_keypoints_2d/68,people/pose_keypoints_2d/69,people/pose_keypoints_2d/70,people/pose_keypoints_2d/71,people/pose_keypoints_2d/72,people/pose_keypoints_2d/73,people/pose_keypoints_2d/74,time
-1,477.807,126.839,0.842159,476.286,241.418,0.774018,380.837,239.895,0.652142,357.409,374.984,0.516534,363.255,489.565,0.664246,571.786,248.688,0.649949,604.108,405.838,0.36454,629.125,524.782,0.451212,476.325,536.555,0.150839,416.113,536.545,0.105815,0,0,0,0,0,0,538.02,536.552,0.108488,0,0,0,0,0,0,461.629,113.56,0.887098,496.903,115.043,0.870067,432.281,134.179,0.860764,513.1,135.566,0.842997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,477.81,126.838,0.842191,476.278,241.406,0.779868,380.838,239.887,0.653055,357.404,373.531,0.514259,363.241,488.133,0.662148,571.785,248.684,0.648951,604.087,404.363,0.375926,629.09,521.858,0.514336,476.342,536.555,0.152918,416.12,536.545,0.103277,0,0,0,0,0,0,539.476,536.552,0.112454,0,0,0,0,0,0,461.621,113.555,0.888985,496.908,115.047,0.870853,433.73,135.597,0.85557,513.081,135.554,0.847974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
-1,477.805,126.836,0.842367,476.276,241.419,0.777261,380.848,239.897,0.652493,357.382,374.98,0.51862,364.69,488.035,0.681771,571.784,248.713,0.657642,604.089,402.9,0.382548,629.095,523.288,0.515774,482.203,536.552,0.148758,420.512,536.545,0.0985462,0,0,0,0,0,0,542.426,536.553,0.120697,0,0,0,0,0,0,461.619,113.558,0.887169,496.907,115.048,0.869223,433.734,135.608,0.850954,514.49,135.572,0.841823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
-1,477.803,126.832,0.844588,476.291,242.805,0.762205,380.864,239.915,0.649008,358.811,372.064,0.514795,366.16,488.049,0.677391,571.784,248.71,0.648455,604.139,407.296,0.397674,629.07,523.301,0.502048,482.193,536.555,0.142041,417.572,536.543,0.0912015,0,0,0,0,0,0,545.351,536.556,0.133311,0,0,0,0,0,0,461.615,113.555,0.886549,496.906,115.048,0.869276,435.18,135.605,0.846352,514.493,135.554,0.843572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
-1,477.801,128.26,0.841011,476.273,242.802,0.760701,380.861,239.87,0.652875,357.349,373.527,0.49136,361.788,489.53,0.676615,571.784,250.132,0.657629,604.063,397.027,0.413071,629.053,521.843,0.511602,479.281,536.552,0.167631,416.086,526.272,0.120181,0,0,0,0,0,0,545.341,536.554,0.14118,0,0,0,0,0,0,461.655,112.195,0.891922,496.897,115.047,0.866571,435.226,134.083,0.825162,513.099,134.136,0.848022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
-1,479.254,126.786,0.83885,476.308,242.815,0.760059,380.871,239.866,0.659499,355.911,377.943,0.467051,358.913,492.487,0.686105,571.795,250.13,0.650091,604.076,395.55,0.391287,629.017,518.921,0.52909,480.728,536.554,0.150479,416.117,536.546,0.113422,0,0,0,0,0,0,546.803,536.554,0.131948,0,0,0,0,0,0,463.052,112.18,0.91044,498.299,113.637,0.8886,436.655,134.086,0.829496,514.501,134.115,0.845165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
-1,479.272,128.28,0.828346,476.293,241.397,0.777227,380.838,239.864,0.662879,355.912,377.917,0.479954,358.878,496.844,0.703325,571.809,248.7,0.651903,604.069,395.553,0.400769,629.001,518.916,0.552538,479.265,536.556,0.127103,414.645,536.549,0.0964375,0,0,0,0,0,0,545.36,536.554,0.108926,0,0,0,0,0,0,463.091,113.558,0.915069,498.296,115.046,0.883924,435.235,132.703,0.829794,515.966,134.147,0.845209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
-1,479.279,128.281,0.82549,476.279,242.795,0.76554,380.821,239.907,0.662245,354.417,383.798,0.463785,358.898,496.899,0.693036,571.779,248.672,0.651875,602.624,391.141,0.446164,627.595,515.968,0.565666,486.623,529.208,0.179463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.078,113.563,0.907181,498.289,115.041,0.883686,438.155,134.158,0.870513,515.965,134.121,0.843281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
-1,477.822,129.753,0.841338,476.282,242.813,0.760737,380.84,239.914,0.658769,352.953,386.731,0.47095,358.844,501.293,0.683845,571.795,247.244,0.650833,602.644,394.084,0.431441,627.576,523.281,0.556042,476.334,536.557,0.127128,408.763,536.552,0.0890516,0,0,0,0,0,0,543.872,536.552,0.113681,0,0,0,0,0,0,463.03,113.623,0.877196,496.916,116.515,0.865139,438.137,134.206,0.869012,515.968,134.2,0.842003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
-1,477.767,131.193,0.858402,474.897,242.868,0.746696,380.832,241.363,0.651858,354.45,385.288,0.465073,357.418,505.693,0.655827,571.792,248.676,0.648369,602.596,392.619,0.404628,627.56,523.314,0.570893,480.739,536.561,0.0974974,413.168,536.556,0.0724417,0,0,0,0,0,0,545.374,536.553,0.101681,0,0,0,0,0,0,461.613,115.028,0.86007,496.854,117.963,0.852569,438.104,134.133,0.859721,514.544,134.198,0.844225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
-1,476.363,132.621,0.881374,474.859,242.821,0.765615,380.832,241.313,0.667344,355.872,388.219,0.491665,357.362,510.101,0.655821,570.332,247.224,0.650169,601.172,395.55,0.429172,626.089,523.296,0.536242,474.885,536.558,0.106662,407.327,536.559,0.0734593,0,0,0,0,0,0,542.421,536.551,0.0967625,0,0,0,0,0,0,461.592,116.493,0.851057,495.414,119.433,0.850398,438.113,135.562,0.873462,514.505,135.629,0.851194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
